School Code,School Name,Address,City,State Code,Zip Code,Province,Country,Postal Code
005500,MANHATTAN AREA TECHNICAL COLLEGE,3136 DICKENS AVENUE,MANHATTAN,KS,66503,N/A,N/A,N/A
005511,COASTAL PINES TECHNICAL COLLEGE,1701 CARSWELL AVENUE,WAYCROSS,GA,31501,N/A,N/A,N/A
005519,DIMAN REGIONAL VOC TECH INST,251 STONEHAVEN ROAD,FALL RIVER,MA,02723,N/A,N/A,N/A
005523,BLUE HILLS REGIONAL VOC TECH,800 RANDOLPH ST,CANTON,MA,02021,N/A,N/A,N/A
005525,SOUTHERN MAINE COMMUNITY  COLLEGE,FORT ROAD,SOUTH PORTLAND,ME,04106,N/A,N/A,N/A
005531,GRAND RIVER TECHNICAL SCHOOL,1200 FAIR STREET,CHILLICOTHE,MO,64601,N/A,N/A,N/A
005532,CAPE GIRARDEAU CAREER & TECHNOLOGY CENTE,1080 SOUTH SILVER SPRINGS ROAD,CAPE GIRARDEAU,MO,63703,N/A,N/A,N/A
005533,"SAINT PAUL COLLEGE, COMMUNITY/TECHNICAL",235 MARSHALL AVENUE,ST PAUL,MN,55102,N/A,N/A,N/A
005534,SAINT CLOUD TECHNICAL COLLEGE AND COMMUN,1540 NORTHWAY DRIVE,SAINT CLOUD,MN,56303,N/A,N/A,N/A
005535,PINE TECHNICAL AND COMMUNITY COLLEGE,900 4TH STREET SE,PINE CITY,MN,55063,N/A,N/A,N/A
005537,SOUTH CENTRAL COLLEGE,FARIBAULT/MANKATO,NORTH MANKATO,MN,56003,N/A,N/A,N/A
005541,MINNESOTA STATE COMMUNITY AND TECHNICAL,1414 COLLEGE WAY,FERGUS FALLS,MN,56537,N/A,N/A,N/A
005544,ALEXANDRIA TECHNICAL COLLEGE,1600 JEFFERSON ST,ALEXANDRIA,MN,56308,N/A,N/A,N/A
005549,SPRINGFIELD TECHNICAL COMMUNITY CLG,1 ARMORY SQUARE,SPRINGFIELD,MA,01105,N/A,N/A,N/A
